id,slug,name,name_zh,author,publisher,year,type,level,status,description,sort_order,original_fields,scan_source,proofread_note
36,Tie_Suann_Ji_Tian_Tseng_Teng_Si_Pan,潮汕字典(增訂四版),潮汕字典(增訂四版),陳凌千,汕頭新華書局,1939,dictionary,SS,public_domain,增訂第四版。陳凌千自1935年初版後持續修訂，此版較初版增加約三分一篇幅。[Wikimedia Commons](https://upload.wikimedia.org/wikipedia/commons/4/4d/SSID-12324030_%E6%BD%AE%E6%B1%95%E5%AD%97%E5%85%B8_%E5%A2%9E%E8%A8%82%E5%9B%9B%E7%89%88.pdf),36,han,,
37,Teochew_Nursery_Songs,潮歌,潮歌,金天民,汕頭南大書局,1929,folk,SS,public_domain,金天民（號雨耕，原籍浙江紹興）編。分謠諺、謳歌、畤歌、附錄四大類二十細目，收錄潮汕地區兒歌民謠，為最早由書局正式出版的潮州歌謠集之一。原書藏中國國家圖書館。[Wikimedia Commons](https://commons.wikimedia.org/wiki/File:NLC511-13051641-68285_%E6%BD%AE%E6%AD%8C.pdf),37,han,,
38,Kou_Pang_Sin_Tsau_Sam_Hap_Ki_Kha_Ki_Uan_Tshuan_Kua_Kng_It_Chi_Kng_Sann,古板新造三合奇巧奇緣全歌（卷一至卷三）,古板新造三合奇巧奇緣全歌（卷一至卷三）,,潮州義安路李萬利,,folk,SS,public_domain,,38,han,,
39,Kou_Pang_Sin_Tsau_Siang_Hai_Suah_Tsur_Po_Kng_It_Chi_Kng_Sann,古板新造上海殺子報（卷一至卷三）,古板新造上海殺子報（卷一至卷三）,,潮州義安路李萬利,,folk,SS,public_domain,,39,han,,
40,Kou_Pang_Sin_Tsau_E_Kng_Ki_Lin_Tou_E_Tsip_Tshuan_Kua_Kng_Ngou_Chi_Kng_Tshit,古板新造下卷麒麟圖下集全歌（卷五至卷七）,古板新造下卷麒麟圖下集全歌（卷五至卷七）,,潮州義安路李萬利,,folk,SS,public_domain,,40,han,,
41,Kou_Pang_Sin_Tsau_Ngou_Hou_Cheng_Pak_Tua_Phua_Kun_Sian_Tin_Tshuan_Kua_Kng_It_Chi_Kng_Sann,古板新造五虎征北大破群仙陣全歌（卷一至卷三）,古板新造五虎征北大破群仙陣全歌（卷一至卷三）,,潮州義安路李萬利,,folk,SS,public_domain,,41,han,,
42,Kou_Pang_Sin_Tsau_Ngou_Hou_Cheng_Pak_Tua_Phua_Kun_Sian_Tin_Tshuan_Kua_Kng_Si_Chi_Kng_Lak,古板新造五虎征北大破群仙陣全歌（卷四至卷六）,古板新造五虎征北大破群仙陣全歌（卷四至卷六）,,潮州義安路李萬利,,folk,SS,public_domain,,42,han,,
43,Kou_Pang_Sin_Tsau_Song_Chhiau_Meng_Tsu_Ki_Tshuan_Kua_Kng_It_Chi_Kng_Ngou,古板新造宋朝明珠記全歌（卷一至卷五）,古板新造宋朝明珠記全歌（卷一至卷五）,,潮州義安路李萬利,,folk,SS,public_domain,,43,han,,
44,Kou_Pang_Sin_Tsau_Pung_Chhiau_Chek_Si_Po_Kng_It_Chi_Kng_Ngou,古板新造本朝一世報（卷一至卷五）,古板新造本朝一世報（卷一至卷五）,,潮州義安路李萬利,,folk,SS,public_domain,,44,han,,
45,Kou_Pang_Sin_Tsau_Gek_Tsam_Ki_Tshuan_Kua_Kng_It_Chi_Kng_Sann,古板新造玉針記全歌（卷一至卷三）,古板新造玉針記全歌（卷一至卷三）,,潮州義安路李萬利,,folk,SS,public_domain,,45,han,,
46,Kou_Pang_Sin_Tsau_Gek_Tsam_Ki_Tshuan_Kua_Kng_Si_Chi_Kng_Lak,古板新造玉針記全歌（卷四至卷六）,古板新造玉針記全歌（卷四至卷六）,,潮州義安路李萬利,,folk,SS,public_domain,,46,han,,
47,Kou_Pang_Sin_Tsau_Peh_Kau_Chiann_Tshuan_Kua_Kng_It_Chi_Kng_Ji,古板新造白狗精全歌（卷一至卷二）,古板新造白狗精全歌（卷一至卷二）,,潮州義安路李萬利,,folk,SS,public_domain,,47,han,,
